workload,policy,prompt_idx,ttft_ms
templated_chat,no_cache,163,18.863
templated_chat,no_cache,164,11.795
templated_chat,no_cache,165,20.932
templated_chat,no_cache,166,20.015
templated_chat,no_cache,167,22.21
templated_chat,no_cache,168,12.61
templated_chat,no_cache,169,21.264
templated_chat,no_cache,170,21.307
templated_chat,no_cache,171,19.378
templated_chat,no_cache,172,11.047
templated_chat,no_cache,173,14.249
templated_chat,no_cache,174,18.033
templated_chat,no_cache,175,18.957
templated_chat,no_cache,176,17.954
templated_chat,no_cache,177,19.229
templated_chat,no_cache,178,20.073
templated_chat,no_cache,179,19.632
templated_chat,no_cache,180,17.659
templated_chat,no_cache,181,20.299
templated_chat,no_cache,182,11.321
templated_chat,no_cache,183,20.273
templated_chat,no_cache,184,13.855
templated_chat,no_cache,185,19.958
templated_chat,no_cache,186,19.374
templated_chat,no_cache,187,10.981
templated_chat,no_cache,188,18.014
templated_chat,no_cache,189,11.341
templated_chat,no_cache,190,15.721
templated_chat,no_cache,191,16.498
templated_chat,no_cache,192,15.353
templated_chat,no_cache,193,11.358
templated_chat,no_cache,194,11.307
templated_chat,no_cache,195,18.523
templated_chat,no_cache,196,17.036
templated_chat,no_cache,197,11.142
templated_chat,no_cache,198,11.202
templated_chat,no_cache,199,11.107
templated_chat,apc_only,0,176.869
templated_chat,apc_only,1,13.398
templated_chat,apc_only,2,14.349
templated_chat,apc_only,3,24.463
templated_chat,apc_only,4,19.825
templated_chat,apc_only,5,12.2
templated_chat,apc_only,6,20.475
templated_chat,apc_only,7,12.365
templated_chat,apc_only,8,21.823
templated_chat,apc_only,9,22.361
templated_chat,apc_only,10,12.532
templated_chat,apc_only,11,12.501
templated_chat,apc_only,12,15.803
templated_chat,apc_only,13,12.267
templated_chat,apc_only,14,12.607
templated_chat,apc_only,15,22.257
templated_chat,apc_only,16,16.416
templated_chat,apc_only,17,12.156
templated_chat,apc_only,18,17.468
templated_chat,apc_only,19,12.183
templated_chat,apc_only,20,12.567
templated_chat,apc_only,21,14.271
templated_chat,apc_only,22,12.803
templated_chat,apc_only,23,12.39
templated_chat,apc_only,24,12.391
templated_chat,apc_only,25,13.047
templated_chat,apc_only,26,12.55
templated_chat,apc_only,27,26.788
templated_chat,apc_only,28,24.123
templated_chat,apc_only,29,12.492
templated_chat,apc_only,30,12.417
templated_chat,apc_only,31,20.499
templated_chat,apc_only,32,16.558
templated_chat,apc_only,33,15.382
templated_chat,apc_only,34,21.371
templated_chat,apc_only,35,20.351
templated_chat,apc_only,36,15.159
templated_chat,apc_only,37,20.27
templated_chat,apc_only,38,11.919
templated_chat,apc_only,39,15.387
templated_chat,apc_only,40,12.205
templated_chat,apc_only,41,23.51
templated_chat,apc_only,42,23.175
templated_chat,apc_only,43,28.567
templated_chat,apc_only,44,13.984
templated_chat,apc_only,45,14.811
templated_chat,apc_only,46,14.61
templated_chat,apc_only,47,13.765
templated_chat,apc_only,48,13.417
templated_chat,apc_only,49,12.311
templated_chat,apc_only,50,14.29
templated_chat,apc_only,51,12.14
templated_chat,apc_only,52,21.757
templated_chat,apc_only,53,17.247
templated_chat,apc_only,54,24.478
templated_chat,apc_only,55,20.271
templated_chat,apc_only,56,14.32
templated_chat,apc_only,57,13.173
