workload,hit_idx,span_start_abs,span_start_rel,span_len_tokens
templated_chat,162,16,0.2623,45
templated_chat,163,10,0.1754,47
templated_chat,164,14,0.2745,37
templated_chat,165,10,0.1818,45
templated_chat,166,12,0.2500,36
templated_chat,167,15,0.2542,44
templated_chat,168,14,0.2800,36
templated_chat,169,10,0.1961,41
templated_chat,170,15,0.2500,45
templated_chat,171,15,0.2308,50
templated_chat,172,6,0.1224,43
templated_chat,173,12,0.2069,46
templated_chat,174,13,0.2364,42
templated_chat,175,9,0.1837,40
templated_chat,176,10,0.1818,45
templated_chat,177,12,0.2034,47
templated_chat,178,15,0.2500,45
templated_chat,179,13,0.2653,36
templated_chat,180,17,0.2787,44
templated_chat,181,10,0.2000,40
templated_chat,182,6,0.1176,45
templated_chat,183,14,0.2188,50
templated_chat,184,9,0.1800,41
templated_chat,185,14,0.2373,45
templated_chat,186,9,0.1875,39
templated_chat,187,13,0.2131,48
templated_chat,188,12,0.2034,47
templated_chat,189,13,0.2364,42
templated_chat,190,15,0.2500,45
multi_doc_summ,0,75,0.2747,70
multi_doc_summ,1,7,0.0254,69
multi_doc_summ,2,7,0.0254,69
multi_doc_summ,3,72,0.2609,70
multi_doc_summ,4,0,0.0000,76
multi_doc_summ,5,138,0.5000,70
multi_doc_summ,6,72,0.2609,70
multi_doc_summ,7,7,0.0254,198
multi_doc_summ,8,72,0.2609,70
multi_doc_summ,9,76,0.2724,69
multi_doc_summ,10,10,0.0366,132
multi_doc_summ,11,75,0.2747,70
multi_doc_summ,12,9,0.0330,264
multi_doc_summ,13,138,0.5000,70
multi_doc_summ,14,136,0.4892,70
multi_doc_summ,15,136,0.4892,70
multi_doc_summ,16,138,0.5000,133
multi_doc_summ,17,75,0.2688,136
multi_doc_summ,18,9,0.0323,202
multi_doc_summ,19,137,0.4928,69
multi_doc_summ,20,7,0.0254,69
multi_doc_summ,21,141,0.5165,70
multi_doc_summ,22,4,0.0144,70
multi_doc_summ,23,4,0.0144,70
multi_doc_summ,24,75,0.2688,70
multi_doc_summ,25,9,0.0330,70
multi_doc_summ,26,75,0.2688,198
multi_doc_summ,27,7,0.0254,69
multi_doc_summ,28,5,0.0180,198
multi_doc_summ,29,141,0.5165,70
multi_doc_summ,30,5,0.0180,135
multi_doc_summ,31,70,0.2518,70
multi_doc_summ,32,6,0.0217,70
multi_doc_summ,33,70,0.2518,199
multi_doc_summ,34,7,0.0254,69
multi_doc_summ,35,141,0.5165,132
multi_doc_summ,36,7,0.0254,69
multi_doc_summ,37,75,0.2688,133
multi_doc_summ,38,7,0.0254,69
multi_doc_summ,39,75,0.2688,136
multi_doc_summ,40,76,0.2784,135
multi_doc_summ,41,138,0.5000,70
multi_doc_summ,42,141,0.5165,132
multi_doc_summ,43,73,0.2645,69
multi_doc_summ,44,138,0.5000,138
multi_doc_summ,45,141,0.5054,70
multi_doc_summ,46,141,0.5165,132
multi_doc_summ,47,9,0.0330,70
multi_doc_summ,48,0,0.0000,76
multi_doc_summ,49,70,0.2518,70
multi_doc_summ,50,5,0.0180,132
multi_doc_summ,51,72,0.2609,133
multi_doc_summ,52,141,0.5054,133
multi_doc_summ,53,10,0.0358,69
multi_doc_summ,54,136,0.4892,133
multi_doc_summ,55,10,0.0358,198
multi_doc_summ,56,141,0.5054,138
multi_doc_summ,57,0,0.0000,76
multi_doc_summ,58,75,0.2747,70
multi_doc_summ,59,9,0.0323,136
multi_doc_summ,60,70,0.2518,70
multi_doc_summ,61,75,0.2747,70
multi_doc_summ,62,70,0.2518,70
multi_doc_summ,63,5,0.0180,69
multi_doc_summ,64,0,0.0000,76
multi_doc_summ,65,136,0.4892,142
multi_doc_summ,66,71,0.2554,69
multi_doc_summ,67,138,0.5000,138
multi_doc_summ,68,136,0.4892,70
multi_doc_summ,69,7,0.0254,69
multi_doc_summ,70,70,0.2518,70
multi_doc_summ,71,5,0.0180,135
multi_doc_summ,72,4,0.0144,70
multi_doc_summ,73,70,0.2518,70
multi_doc_summ,74,9,0.0323,136
multi_doc_summ,75,75,0.2747,70
multi_doc_summ,76,141,0.5165,132
multi_doc_summ,77,136,0.4892,133
multi_doc_summ,78,138,0.5000,133
multi_doc_summ,79,70,0.2518,70
multi_doc_summ,80,10,0.0358,69
multi_doc_summ,81,75,0.2688,70
multi_doc_summ,82,0,0.0000,79
multi_doc_summ,83,10,0.0366,69
multi_doc_summ,84,7,0.0254,197
multi_doc_summ,85,70,0.2518,70
multi_doc_summ,86,5,0.0180,69
multi_doc_summ,87,142,0.5090,69
multi_doc_summ,88,138,0.5000,70
multi_doc_summ,89,139,0.5036,69
multi_doc_summ,90,73,0.2645,135
multi_doc_summ,91,72,0.2609,70
multi_doc_summ,92,141,0.5165,70
multi_doc_summ,93,10,0.0366,69
multi_doc_summ,94,141,0.5054,133
multi_doc_summ,95,72,0.2609,70
multi_doc_summ,96,75,0.2747,136
multi_doc_summ,97,136,0.4892,133
multi_doc_summ,98,137,0.4928,132
multi_doc_summ,99,4,0.0144,70
multi_doc_summ,100,71,0.2554,198
multi_doc_summ,101,10,0.0358,69
multi_doc_summ,102,141,0.5165,132
multi_doc_summ,103,70,0.2518,133
multi_doc_summ,104,0,0.0000,145
multi_doc_summ,105,71,0.2554,69
multi_doc_summ,106,75,0.2747,70
multi_doc_summ,107,10,0.0366,69
multi_doc_summ,108,75,0.2747,70
multi_doc_summ,109,10,0.0366,69
multi_doc_summ,110,7,0.0254,132
multi_doc_summ,111,73,0.2645,69
multi_doc_summ,112,141,0.5054,133
multi_doc_summ,113,10,0.0366,135
multi_doc_summ,114,75,0.2747,70
multi_doc_summ,115,9,0.0330,70
multi_doc_summ,116,7,0.0254,131
