workload,policy,prompt_idx,ttft_ms
multi_doc_summ,no_cache,139,24.61
multi_doc_summ,no_cache,140,24.041
multi_doc_summ,no_cache,141,23.121
multi_doc_summ,no_cache,142,23.873
multi_doc_summ,no_cache,143,23.853
multi_doc_summ,no_cache,144,22.911
multi_doc_summ,no_cache,145,24.003
multi_doc_summ,no_cache,146,23.685
multi_doc_summ,no_cache,147,23.955
multi_doc_summ,no_cache,148,24.567
multi_doc_summ,no_cache,149,23.521
multi_doc_summ,no_cache,150,23.69
multi_doc_summ,no_cache,151,25.26
multi_doc_summ,no_cache,152,23.26
multi_doc_summ,no_cache,153,23.811
multi_doc_summ,no_cache,154,23.317
multi_doc_summ,no_cache,155,24.251
multi_doc_summ,no_cache,156,23.786
multi_doc_summ,no_cache,157,24.094
multi_doc_summ,no_cache,158,23.295
multi_doc_summ,no_cache,159,24.098
multi_doc_summ,no_cache,160,24.374
multi_doc_summ,no_cache,161,25.097
multi_doc_summ,no_cache,162,25.185
multi_doc_summ,no_cache,163,23.319
multi_doc_summ,no_cache,164,23.929
multi_doc_summ,no_cache,165,23.3
multi_doc_summ,no_cache,166,24.048
multi_doc_summ,no_cache,167,24.429
multi_doc_summ,no_cache,168,23.107
multi_doc_summ,no_cache,169,23.92
multi_doc_summ,no_cache,170,23.983
multi_doc_summ,no_cache,171,23.777
multi_doc_summ,no_cache,172,24.113
multi_doc_summ,no_cache,173,23.365
multi_doc_summ,no_cache,174,23.234
multi_doc_summ,no_cache,175,24.251
multi_doc_summ,no_cache,176,23.607
multi_doc_summ,no_cache,177,24.548
multi_doc_summ,no_cache,178,23.55
multi_doc_summ,no_cache,179,24.079
multi_doc_summ,no_cache,180,23.797
multi_doc_summ,no_cache,181,24.351
multi_doc_summ,no_cache,182,23.992
multi_doc_summ,no_cache,183,24.169
multi_doc_summ,no_cache,184,24.506
multi_doc_summ,no_cache,185,22.925
multi_doc_summ,no_cache,186,24.487
multi_doc_summ,no_cache,187,23.443
multi_doc_summ,no_cache,188,23.181
multi_doc_summ,no_cache,189,24.315
multi_doc_summ,no_cache,190,24.113
multi_doc_summ,no_cache,191,23.338
multi_doc_summ,no_cache,192,23.752
multi_doc_summ,no_cache,193,25.078
multi_doc_summ,no_cache,194,23.988
multi_doc_summ,no_cache,195,23.419
multi_doc_summ,no_cache,196,23.794
multi_doc_summ,no_cache,197,23.796
multi_doc_summ,no_cache,198,23.352
multi_doc_summ,no_cache,199,24.126
multi_doc_summ,apc_only,0,117.948
multi_doc_summ,apc_only,1,25.367
multi_doc_summ,apc_only,2,26.033
multi_doc_summ,apc_only,3,26.9
multi_doc_summ,apc_only,4,26.394
multi_doc_summ,apc_only,5,25.436
multi_doc_summ,apc_only,6,27.069
multi_doc_summ,apc_only,7,26.25
multi_doc_summ,apc_only,8,27.056
multi_doc_summ,apc_only,9,26.926
multi_doc_summ,apc_only,10,28.004
multi_doc_summ,apc_only,11,26.685
multi_doc_summ,apc_only,12,27.751
multi_doc_summ,apc_only,13,26.589
multi_doc_summ,apc_only,14,25.46
multi_doc_summ,apc_only,15,27.505
multi_doc_summ,apc_only,16,25.452
multi_doc_summ,apc_only,17,26.172
multi_doc_summ,apc_only,18,25.399
multi_doc_summ,apc_only,19,25.605
multi_doc_summ,apc_only,20,26.898
multi_doc_summ,apc_only,21,25.133
multi_doc_summ,apc_only,22,26.618
multi_doc_summ,apc_only,23,27.119
multi_doc_summ,apc_only,24,25.84
multi_doc_summ,apc_only,25,25.603
multi_doc_summ,apc_only,26,27.575
multi_doc_summ,apc_only,27,23.115
multi_doc_summ,apc_only,28,23.456
multi_doc_summ,apc_only,29,25.161
multi_doc_summ,apc_only,30,26.212
multi_doc_summ,apc_only,31,26.588
multi_doc_summ,apc_only,32,26.479
multi_doc_summ,apc_only,33,25.576
multi_doc_summ,apc_only,34,25.836
multi_doc_summ,apc_only,35,25.241
multi_doc_summ,apc_only,36,26.132
multi_doc_summ,apc_only,37,25.648
multi_doc_summ,apc_only,38,28.662
multi_doc_summ,apc_only,39,25.838
multi_doc_summ,apc_only,40,26.285
multi_doc_summ,apc_only,41,26.502
multi_doc_summ,apc_only,42,25.66
multi_doc_summ,apc_only,43,25.554
multi_doc_summ,apc_only,44,26.101
multi_doc_summ,apc_only,45,26.574
multi_doc_summ,apc_only,46,26.682
multi_doc_summ,apc_only,47,25.885
multi_doc_summ,apc_only,48,27.046
multi_doc_summ,apc_only,49,26.503
multi_doc_summ,apc_only,50,26.358
multi_doc_summ,apc_only,51,26.46
multi_doc_summ,apc_only,52,25.732
multi_doc_summ,apc_only,53,26.751
multi_doc_summ,apc_only,54,26.374
multi_doc_summ,apc_only,55,26.208
multi_doc_summ,apc_only,56,25.445
multi_doc_summ,apc_only,57,26.702
multi_doc_summ,apc_only,58,25.943
multi_doc_summ,apc_only,59,26.182
multi_doc_summ,apc_only,60,27.715
multi_doc_summ,apc_only,61,27.642
multi_doc_summ,apc_only,62,17.741
multi_doc_summ,apc_only,63,27.167
multi_doc_summ,apc_only,64,26.324
multi_doc_summ,apc_only,65,28.513
multi_doc_summ,apc_only,66,21.913
multi_doc_summ,apc_only,67,25.624
multi_doc_summ,apc_only,68,27.741
multi_doc_summ,apc_only,69,26.731
