method,config,hit_rate,avg_overhead_ms,avg_candidates,avg_jaccard,avg_span_coverage,n
vLLM_APC,block=16,0.196875,0.1015,-,-,-,320
SemShareKV_sim,low_planes=64_tables=10_thr=0.8,0.093750,0.7974,0.10,-,-,320
SemShareKV_sim,medium_planes=128_tables=20_thr=0.85,0.059375,2.2752,0.07,-,-,320
SemShareKV_sim,high_planes=128_tables=40_thr=0.9,0.068750,4.7655,0.07,-,-,320
JaccardServe,balanced_b=20_r=4_thr=0.5_k=5,0.709375,2.8104,2.28,0.6088,0.3858,320
JaccardServe,high-prec_b=20_r=8_thr=0.7_k=5,0.128125,1.1408,0.41,0.8899,0.4666,320
JaccardServe,high-recall_b=50_r=4_thr=0.4_k=5,0.759375,3.2776,3.34,0.6047,0.3892,320
